iso,actor_count,director_count
AFG,6,1
AGO,5,1
ALB,4,0
AND,2,0
ARE,11,1
ARG,249,25
ARM,3,0
AUS,350,30
AUT,85,5
AZE,1,0
BEL,104,9
BEN,2,0
BFA,1,0
BGD,12,2
BGR,31,1
BHR,3,0
BHS,3,0
BIH,13,1
BLR,8,1
BMU,2,0
BOL,4,0
BRA,362,20
BRB,2,0
BTN,1,0
BWA,2,0
CAN,1217,45
CHE,60,8
CHL,85,5
CHN,503,30
CIV,8,0
CMR,1,0
COD,9,0
COG,1,0
COL,119,4
CRI,4,0
CUB,39,0
CYM,1,0
CYP,3,0
CZE,32,0
DEU,632,41
DNK,103,9
DOM,14,1
DZA,16,0
ECU,3,0
EGY,193,15
ERI,2,0
ESP,580,74
EST,3,0
ETH,5,1
FIN,44,4
FJI,1,0
FRA,570,70
FRO,1,0
FSM,1,0
GAB,2,0
GBR,2033,82
GEO,6,2
GHA,10,0
GLP,1,1
GMB,1,0
GNB,1,0
GNQ,2,0
GRC,8,2
GTM,5,0
GUY,5,0
HKG,3,0
HND,3,0
HRV,15,1
HTI,6,0
HUN,17,4
IDN,189,21
IMN,1,0
IND,1413,134
IRL,132,5
IRN,39,5
IRQ,4,0
ISL,26,3
ISR,88,10
ITA,386,35
JAM,24,0
JOR,8,2
JPN,1303,73
KAZ,5,1
KEN,12,0
KGZ,1,0
KNA,1,0
KOR,1141,68
KWT,8,0
LAO,1,0
LBN,34,7
LBR,1,0
LIE,1,0
LKA,7,0
LTU,6,1
LUX,3,0
LVA,6,0
MAC,1,0
MAR,22,2
MCO,1,0
MDA,4,0
MDG,1,0
MEX,307,18
MKD,2,0
MLI,1,0
MLT,4,0
MMR,2,0
MNG,1,0
MRT,1,0
MUS,1,0
MWI,1,0
MYS,77,8
NGA,40,13
NIC,1,0
NLD,126,9
NOR,77,4
NPL,8,0
NZL,90,9
OMN,3,0
PAK,30,4
PAN,6,0
PER,22,3
PHL,168,15
POL,288,15
PRI,12,0
PRK,1,1
PRT,81,1
PRY,3,0
PSE,3,1
PYF,2,0
REU,2,0
ROU,59,1
RUS,166,10
RWA,4,0
SAU,13,3
SDN,3,0
SEN,10,0
SGP,51,2
SLE,2,0
SLV,6,1
SOM,3,0
SRB,15,0
SUR,2,0
SVK,10,0
SVN,5,0
SWE,128,12
SWZ,3,0
SYC,1,0
SYR,13,1
TGO,1,0
THA,160,10
TJK,1,1
TKM,2,0
TTO,6,0
TUN,6,2
TUR,553,37
TWN,275,19
TZA,6,2
UGA,6,0
UKR,36,1
URY,18,5
USA,8053,495
UZB,1,0
VEN,24,0
VGB,1,0
VIR,2,0
VNM,22,2
VUT,1,0
WSM,1,0
YEM,2,0
ZAF,123,7
ZMB,2,0
ZWE,9,0
